Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,455
design__inferred_latch__count,0
design__instance__count,15294
design__instance__area,496659
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,8
design__max_cap_violation__count__corner:nom_tt_025C_1v80,30
power__internal__total,0.009113550186157227
power__switching__total,0.0018531782552599907
power__leakage__total,0.00003820671918219887
power__total,0.011004935018718243
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.29659620043922647
clock__skew__worst_setup__corner:nom_tt_025C_1v80,-0.29659620043922647
timing__hold__ws__corner:nom_tt_025C_1v80,0.34163917106749836
timing__setup__ws__corner:nom_tt_025C_1v80,6.624823543923033
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.341639
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,6.624824
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,47
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,8
design__max_cap_violation__count__corner:nom_ss_100C_1v60,38
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.507051304184575
clock__skew__worst_setup__corner:nom_ss_100C_1v60,-0.507051304184575
timing__hold__ws__corner:nom_ss_100C_1v60,0.7115502832789639
timing__setup__ws__corner:nom_ss_100C_1v60,1.8469617469315378
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.711550
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,1.846962
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,8
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,30
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2006996847743677
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,-0.2006996847743677
timing__hold__ws__corner:nom_ff_n40C_1v95,0.20722479874153996
timing__setup__ws__corner:nom_ff_n40C_1v95,7.376589325938063
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.207225
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,7.376589
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,104
design__max_fanout_violation__count,8
design__max_cap_violation__count,46
clock__skew__worst_hold,-0.1909163436935278
clock__skew__worst_setup,-0.5420509750034389
timing__hold__ws,0.19736840498361366
timing__setup__ws,1.2109176226704883
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.197368
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.210918
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1100.0 800.0
design__core__bbox,5.52 10.88 1094.34 788.8
design__io,206
design__die__area,880000
design__core__area,847015
design__instance__count__stdcell,15292
design__instance__area__stdcell,115234
design__instance__count__macros,2
design__instance__area__macros,381425
design__instance__utilization,0.586364
design__instance__utilization__stdcell,0.247502
design__instance__count__class:macro,2
design__instance__count__class:buffer,40
design__instance__count__class:inverter,578
design__instance__count__class:sequential_cell,1520
design__instance__count__class:multi_input_combinational_cell,4925
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,36471
design__instance__count__class:tap_cell,6135
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,481690
design__violations,0
design__instance__count__class:timing_repair_buffer,1389
design__instance__count__class:clock_buffer,213
design__instance__count__class:clock_inverter,140
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,20
antenna__violating__pins,22
route__antenna_violation__count,20
design__instance__count__class:antenna_cell,352
antenna_diodes_count,309
route__net,8749
route__net__special,2
route__drc_errors__iter:1,5626
route__wirelength__iter:1,561988
route__drc_errors__iter:2,2497
route__wirelength__iter:2,559240
route__drc_errors__iter:3,2318
route__wirelength__iter:3,558244
route__drc_errors__iter:4,149
route__wirelength__iter:4,557898
route__drc_errors__iter:5,13
route__wirelength__iter:5,557827
route__drc_errors__iter:6,0
route__wirelength__iter:6,557817
route__drc_errors,0
route__wirelength,557817
route__vias,76733
route__vias__singlecut,76733
route__vias__multicut,0
design__disconnected_pin__count,64
design__critical_disconnected_pin__count,0
route__wirelength__max,1074.09
timing__unannotated_net__count__corner:nom_tt_025C_1v80,241
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,241
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,241
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,8
design__max_cap_violation__count__corner:min_tt_025C_1v80,24
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.27671021812663404
clock__skew__worst_setup__corner:min_tt_025C_1v80,-0.27671021812663404
timing__hold__ws__corner:min_tt_025C_1v80,0.34457793149679494
timing__setup__ws__corner:min_tt_025C_1v80,6.781354336681137
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.344578
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,6.781354
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,241
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,13
design__max_fanout_violation__count__corner:min_ss_100C_1v60,8
design__max_cap_violation__count__corner:min_ss_100C_1v60,27
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.47514060697448784
clock__skew__worst_setup__corner:min_ss_100C_1v60,-0.47514060697448784
timing__hold__ws__corner:min_ss_100C_1v60,0.7108059897422051
timing__setup__ws__corner:min_ss_100C_1v60,2.548830552095052
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.710806
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,2.548831
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,241
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,8
design__max_cap_violation__count__corner:min_ff_n40C_1v95,24
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.1909163436935278
clock__skew__worst_setup__corner:min_ff_n40C_1v95,-0.1909163436935278
timing__hold__ws__corner:min_ff_n40C_1v95,0.21178959185868992
timing__setup__ws__corner:min_ff_n40C_1v95,7.535703829792148
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.211790
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,7.535704
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,241
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,0
design__max_fanout_violation__count__corner:max_tt_025C_1v80,8
design__max_cap_violation__count__corner:max_tt_025C_1v80,32
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.31903325328995175
clock__skew__worst_setup__corner:max_tt_025C_1v80,-0.31903325328995175
timing__hold__ws__corner:max_tt_025C_1v80,0.33044079519060254
timing__setup__ws__corner:max_tt_025C_1v80,6.500237865289753
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.330441
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,6.500238
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,241
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,104
design__max_fanout_violation__count__corner:max_ss_100C_1v60,8
design__max_cap_violation__count__corner:max_ss_100C_1v60,46
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.5420509750034389
clock__skew__worst_setup__corner:max_ss_100C_1v60,-0.5420509750034389
timing__hold__ws__corner:max_ss_100C_1v60,0.7085469078678066
timing__setup__ws__corner:max_ss_100C_1v60,1.2109176226704883
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.708547
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,1.210918
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,241
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,8
design__max_cap_violation__count__corner:max_ff_n40C_1v95,32
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.2147366789609067
clock__skew__worst_setup__corner:max_ff_n40C_1v95,-0.2147366789609067
timing__hold__ws__corner:max_ff_n40C_1v95,0.19736840498361366
timing__setup__ws__corner:max_ff_n40C_1v95,7.258916340140814
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.197368
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,7.258916
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,241
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,241
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79935
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79997
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000653451
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000648055
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000335842
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000648055
design_powergrid__voltage__worst,0.000648055
design_powergrid__voltage__worst__net:VPWR,1.79935
design_powergrid__drop__worst,0.000653451
design_powergrid__drop__worst__net:VPWR,0.000653451
design_powergrid__voltage__worst__net:VGND,0.000648055
design_powergrid__drop__worst__net:VGND,0.000648055
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0000341999999999999978171107140045847927467548288404941558837890625
ir__drop__worst,0.000653000000000000043083592249359980996814556419849395751953125
design__xor_difference__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
